Amount of starting bloxes: 500, Ill starting bloxes: 2, Time for a recovery: 5 seconds, Randomized movement: True
Time	Healthy	Sick	Recovered
364.0	47	291	162
365.0	40	344	116
366.0	24	376	100
367.0	23	367	110
368.0	22	334	144
369.0	22	279	199
370.0	42	245	213
371.0	50	250	200
372.0	33	296	171
373.0	35	353	112
374.0	17	391	92
375.0	6	387	107
376.0	12	338	150
377.0	22	286	192
378.0	34	238	228
379.0	42	242	216
380.0	40	281	179
381.0	43	348	109
382.0	17	393	90
383.0	11	392	97
384.0	8	346	146
385.0	22	286	192
386.0	25	237	238
387.0	51	228	221
388.0	56	268	176
389.0	37	347	116
390.0	21	393	86
391.0	14	393	93
392.0	11	357	132
393.0	19	303	178
394.0	26	242	232
395.0	41	224	235
396.0	53	257	190
397.0	51	343	106
398.0	23	383	94
399.0	21	384	95
400.0	15	359	126
401.0	15	313	172
402.0	19	247	234
403.0	35	228	237
404.0	54	265	181
405.0	34	345	121
406.0	25	378	97
407.0	12	384	104
408.0	9	365	126
409.0	19	317	164
410.0	21	240	239
411.0	40	222	238
412.0	58	259	183
413.0	44	333	123
414.0	27	379	94
415.0	10	388	102
416.0	14	371	115
417.0	14	322	164
418.0	17	248	235
419.0	35	208	257
420.0	71	239	190
421.0	43	333	124
422.0	31	371	98
423.0	21	388	91
424.0	13	383	104
425.0	14	345	141
426.0	25	250	225
427.0	25	218	257
428.0	71	222	207
429.0	48	321	131
430.0	22	374	104
431.0	17	385	98
432.0	13	384	103
433.0	10	359	131
434.0	15	265	220
435.0	25	210	265
436.0	61	225	214
437.0	61	302	137
438.0	33	359	108
439.0	21	377	102
440.0	17	393	90
441.0	10	363	127
442.0	17	276	207
443.0	19	220	261
444.0	44	232	224
445.0	54	296	150
446.0	27	357	116
447.0	20	386	94
448.0	13	397	90
449.0	14	365	121
450.0	11	287	202
451.0	27	210	263
452.0	52	233	215
453.0	56	278	166
454.0	34	354	112
455.0	20	383	97
456.0	14	405	81
457.0	9	365	126
458.0	8	301	191
459.0	28	215	257
460.0	38	229	233
461.0	58	266	176
462.0	35	341	124
463.0	32	378	90
464.0	19	408	73
465.0	15	363	122
466.0	12	304	184
467.0	37	227	236
468.0	53	216	231
469.0	54	251	195
470.0	48	321	131
471.0	29	372	99
472.0	16	406	78
473.0	12	380	108
474.0	13	309	178
475.0	25	245	230
476.0	51	220	229
477.0	53	248	199
478.0	49	309	142
479.0	41	380	79
480.0	21	404	75
481.0	8	390	102
482.0	6	319	175
483.0	20	262	218
484.0	39	216	245
485.0	56	240	204
486.0	54	296	150
487.0	34	372	94
488.0	20	396	84
489.0	8	389	103
490.0	12	336	152
491.0	21	273	206
492.0	35	214	251
493.0	54	220	226
494.0	59	277	164
495.0	38	366	96
496.0	22	397	81
497.0	12	394	94
498.0	12	355	133
499.0	12	295	193
500.0	26	218	256
501.0	52	216	232
502.0	83	264	153
503.0	40	359	101
504.0	24	389	87
505.0	8	398	94
506.0	16	359	125
507.0	12	316	172
508.0	33	229	238
509.0	38	214	248
510.0	66	259	175
511.0	48	343	109
512.0	21	380	99
513.0	13	395	92
514.0	16	370	114
515.0	15	314	171
516.0	29	238	233
517.0	40	212	248
518.0	56	258	186
519.0	62	319	119
520.0	31	379	90
521.0	15	392	93
522.0	13	375	112
523.0	12	318	170
524.0	14	267	219
525.0	25	224	251
526.0	56	249	195
527.0	48	314	138
528.0	36	373	91
529.0	20	383	97
530.0	13	369	118
531.0	10	331	159
532.0	14	269	217
533.0	30	230	240
534.0	57	239	204
535.0	56	310	134
536.0	30	363	107
537.0	23	375	102
538.0	19	371	110
539.0	20	348	132
540.0	23	277	200
541.0	32	226	242
542.0	53	242	205
543.0	62	294	144
544.0	37	355	108
545.0	22	369	109
546.0	16	381	103
547.0	9	358	133
548.0	19	286	195
549.0	17	238	245
550.0	38	250	212
551.0	43	292	165
552.0	37	333	130
553.0	18	385	97
554.0	11	390	99
555.0	13	351	136
556.0	17	289	194
557.0	31	248	221
558.0	47	238	215
559.0	52	272	176
560.0	42	339	119
561.0	26	378	96
562.0	15	392	93
563.0	7	352	141
564.0	12	306	182
565.0	19	247	234
566.0	50	236	214
567.0	64	262	174
568.0	42	328	130
569.0	25	376	99
570.0	18	385	97
571.0	12	366	122
572.0	17	318	165
573.0	24	253	223
574.0	36	224	240
575.0	54	268	178
576.0	40	328	132
577.0	25	375	100
578.0	20	382	98
579.0	11	370	119
580.0	15	318	167
581.0	16	251	233
582.0	36	225	239
583.0	55	267	178
584.0	41	328	131
585.0	22	369	109
586.0	16	384	100
587.0	7	380	113
588.0	15	322	163
589.0	21	255	224
590.0	40	220	240
591.0	62	255	183
592.0	57	308	135
593.0	41	358	101
594.0	27	377	96
595.0	12	384	104
596.0	11	332	157
597.0	23	264	213
598.0	28	237	235
599.0	56	256	188
600.0	47	303	150
601.0	36	348	116
602.0	34	377	89
603.0	11	382	107
604.0	15	334	151
605.0	22	268	210
606.0	27	246	227
607.0	45	260	195
608.0	38	298	164
609.0	38	348	114
610.0	29	380	91
611.0	15	379	106
612.0	13	339	148
613.0	17	274	209
614.0	36	246	218
615.0	50	249	201
616.0	46	297	157
617.0	28	350	122
618.0	27	388	85
619.0	9	385	106
620.0	12	342	146
621.0	16	280	204
622.0	30	240	230
623.0	35	242	223
624.0	45	286	169
625.0	37	345	118
626.0	27	385	88
627.0	13	383	104
628.0	12	355	133
629.0	14	293	193
630.0	30	251	219
631.0	49	242	209
632.0	55	275	170
633.0	41	334	125
634.0	23	382	95
635.0	9	390	101
636.0	19	342	139
637.0	10	309	181
638.0	23	249	228
639.0	27	242	231
640.0	43	267	190
641.0	44	340	116
642.0	32	371	97
643.0	12	391	97
644.0	17	342	141
645.0	19	309	172
646.0	18	267	215
647.0	37	241	222
648.0	45	256	199
649.0	51	334	115
650.0	38	368	94
651.0	15	373	112
652.0	19	348	133
653.0	15	320	165
654.0	23	263	214
655.0	40	240	220
656.0	46	258	196
657.0	44	323	133
658.0	42	357	101
659.0	18	372	110
660.0	13	368	119
661.0	12	331	157
662.0	26	267	207
663.0	37	249	214
664.0	43	264	193
665.0	34	311	155
666.0	35	346	119
667.0	23	375	102
668.0	12	372	116
669.0	15	330	155
670.0	23	275	202
671.0	40	253	207
672.0	45	268	187
673.0	41	297	162
674.0	31	344	125
675.0	29	366	105
676.0	14	367	119
677.0	12	327	161
678.0	19	283	198
679.0	40	253	207
680.0	45	253	202
681.0	44	282	174
682.0	41	335	124
683.0	24	376	100
684.0	24	368	108
685.0	12	350	138
686.0	19	296	185
687.0	39	263	198
688.0	38	260	202
689.0	44	291	165
690.0	44	311	145
691.0	30	367	103
692.0	19	370	111
693.0	12	337	151
694.0	21	297	182
695.0	32	274	194
696.0	47	251	202
697.0	34	295	171
698.0	39	313	148
699.0	35	355	110
700.0	24	368	108
701.0	13	354	133
702.0	15	298	187
703.0	27	283	190
704.0	38	273	189
705.0	43	279	178
706.0	47	304	149
707.0	26	354	120
708.0	21	370	109
709.0	20	340	140
710.0	19	313	168
711.0	32	291	177
712.0	42	256	202
713.0	39	259	202
714.0	40	308	152
715.0	35	344	121
716.0	23	371	106
717.0	15	358	127
718.0	17	329	154
719.0	19	294	187
720.0	31	265	204
721.0	46	256	198
722.0	42	299	159
723.0	28	343	129
724.0	14	368	118
725.0	18	359	123
726.0	14	342	144
727.0	19	298	183
728.0	33	251	216
729.0	48	250	202
730.0	57	282	161
731.0	39	341	120
732.0	26	352	122
733.0	19	368	113
734.0	25	344	131
735.0	17	315	168
736.0	29	248	223
737.0	37	249	214
738.0	50	286	164
739.0	55	324	121
740.0	28	353	119
741.0	15	372	113
742.0	20	358	122
743.0	22	304	174
744.0	26	270	204
745.0	36	245	219
746.0	37	285	178
747.0	30	328	142
748.0	20	367	113
749.0	19	372	109
750.0	22	356	122
751.0	24	308	168
752.0	29	251	220
753.0	38	232	230
754.0	49	276	175
755.0	51	316	133
756.0	26	369	105
757.0	21	382	97
758.0	13	375	112
759.0	18	309	173
760.0	19	274	207
761.0	40	242	218
762.0	40	269	191
763.0	46	309	145
764.0	26	356	118
765.0	15	380	105
766.0	10	370	120
767.0	13	320	167
768.0	14	276	210
769.0	30	254	216
770.0	37	267	196
771.0	43	302	155
772.0	35	352	113
773.0	26	376	98
774.0	14	372	114
775.0	18	320	162
776.0	28	280	192
777.0	43	246	211
778.0	37	260	203
779.0	31	299	170
780.0	26	350	124
781.0	22	374	104
782.0	8	379	113
783.0	15	330	155
784.0	17	280	203
785.0	26	244	230
786.0	50	256	194
787.0	43	298	159
788.0	39	346	115
